Team,Player,Base Price,Winning Bid,Capped/Uncapped
PBKS,Lockie Ferguson,20000000,20000000,Capped
PBKS,Vyshak Vijaykumar,3000000,18000000,Uncapped
PBKS,Yash Thakur,3000000,16000000,Uncapped
PBKS,Harpreet Brar,3000000,15000000,Uncapped
PBKS,Aaron Hardie,12500000,12500000,Capped
PBKS,Vishnu Vinod,3000000,9500000,Uncapped
PBKS,Xavier Bartlett,7500000,8000000,Capped
PBKS,Kuldeep Sen,7500000,8000000,Capped
PBKS,Pravin Dubey,3000000,3000000,Uncapped
PBKS,Pyla Avinash,3000000,3000000,Uncapped
PBKS,Suryansh Shedge,3000000,3000000,Uncapped
PBKS,Musheer Khan,3000000,3000000,Uncapped
PBKS,Harnoor Pannu,3000000,3000000,Uncapped
RR,Jofra Archer,20000000,125000000,Capped
RR,Tushar Deshpande,10000000,65000000,Capped
RR,Wanindu Hasaranga,20000000,52500000,Capped
RR,Maheesh Theekshana,20000000,44000000,Capped
RR,Nitish Rana,15000000,42000000,Capped
RR,Fazalhaq Farooqi,20000000,20000000,Capped
RR,Kwena Maphaka,7500000,15000000,Capped
RR,Akash Madhwal,3000000,12000000,Uncapped
RR,Vaibhav Suryavanshi,3000000,11000000,Uncapped
RR,Shubham Dubey,3000000,8000000,Uncapped
RR,Yudhvir Charak,3000000,3500000,Uncapped
RR,Ashok Sharma,3000000,3000000,Uncapped
RR,Kunal Rathore,3000000,3000000,Uncapped
RR,Kumar Kartikeya Singh,3000000,3000000,Uncapped
RCB,Josh Hazlewood,20000000,125000000,Capped
RCB,Phil Salt,20000000,115000000,Capped
RCB,Jitesh Sharma,10000000,110000000,Capped
RCB,Bhuvneshwar Kumar,20000000,107500000,Capped
RCB,Liam Livingstone,20000000,87500000,Capped
RCB,Rasikh Dar,3000000,60000000,Uncapped
RCB,Krunal Pandya,20000000,57500000,Capped
RCB,Tim David,20000000,30000000,Capped
RCB,Jacob Bethell,12500000,26000000,Capped
RCB,Suyash Sharma,3000000,26000000,Uncapped
RCB,Devdutt Padikkal,20000000,20000000,Capped
RCB,Nuwan Thushara,7500000,16000000,Capped
RCB,Romario Shepherd,15000000,15000000,Capped
RCB,Lungisani Ngidi,10000000,10000000,Capped
RCB,Swapnil Singh,3000000,5000000,Uncapped
RCB,Mohit Rathee,3000000,3000000,Uncapped
RCB,Abhinandan Singh,3000000,3000000,Uncapped
RCB,Swastik Chhikara,3000000,3000000,Uncapped
RCB,Manoj Bhandage,3000000,3000000,Uncapped
SRH,Ishan Kishan,20000000,112500000,Capped
SRH,Mohammad Shami,20000000,100000000,Capped
SRH,Harshal Patel,20000000,80000000,Capped
SRH,Abhinav Manohar,3000000,32000000,Uncapped
SRH,Rahul Chahar,10000000,32000000,Capped
SRH,Adam Zampa,20000000,24000000,Capped
SRH,Simarjeet Singh,3000000,15000000,Uncapped
SRH,Eshan Malinga,3000000,12000000,Uncapped
SRH,Brydon Carse,10000000,10000000,Capped
SRH,Jaydev Unadkat,10000000,10000000,Capped
SRH,Kamindu Mendis,7500000,7500000,Capped
SRH,Zeeshan Ansari,3000000,4000000,Uncapped
SRH,Sachin Baby,3000000,3000000,Uncapped
SRH,Aniket Verma,3000000,3000000,Uncapped
SRH,Atharva Taide,3000000,3000000,Uncapped
