,Team,Fund_Remaining(Rs.),overseas_plaayer,Total_player
0,CSK,500000,7,25
1,DC,2000000,7,23
2,GT,1500000,7,25
3,KKR,500000,8,21
4,LSG,1000000,6,24
5,MI,2000000,8,23
6,PBKS,3500000,8,25
7,RR,3000000,6,20
8,RCB,7500000,8,22
9,SRH,2000000,7,20
